50
    1     2     3
    2     4     3
    3    10     9
    4     5     6
    5     6     7
    6     1     1
    7     5     6
    8     2     3
    9    10    10
   10     7     7
   11     7     7
   12    11    10
   13     8     7
   14     5     5
   15     3     4
   16     1     2
   17     8     8
   18     1     1
   19    11    10
   20     5     5
   21     5     4
   22     6     5
   23     5     5
   24     3     2
   25    10    10
   26     1     1
   27     9     9
   28     4     5
   29     7     7
   30     5     6
   31     4     3
   32     4     5
   33     2     3
   34     3     2
   35     5     5
   36     5     6
   37     2     1
   38     7     6
   39     9     9
   40     5     4
   41     6     6
   42    10     9
   43     1     1
   44     8     7
   45    11    10
   46     4     4
   47     8     9
   48     6     7
   49     9    10
   50    10     9
22
