8
-63	86	78	32	40	-50	19	7	58	-69	46	-17	-61	-14	81	48	85	94	-56	-96	-32	65	-1	44	90	-81	-56	40	-78	-22	-46	9	9	95	82	-14	90	17	3	3	-27	34	-87	57	33	77	-5	62	94	-32	-53	42	29	38	24	30	-30	39	-43	-34	-79	-55	2	-51	-79	-76	-86	-27	29	-53	7	57	-52	6	-44	23	-56	60	99	-59	-99	-10	6	-54	3	-94	94	-51	52	-93	-1	-24	-46	-21	-99	76	68	37	76	15	2	-93	-64	-95	-5	17	57	69	-77	-53	-22	27	-17	22	7	25	-50	-58	67	-35	-93	-31	-93	-6	42	98	-41	-12	-42	-56	23	63	3	-91	-26	-95	-78	70	-79	93	-40	90	-70	-92	-36	66	-33	-36	-3	-59	-54	50	-32	56	-1	37	46	-22	-82	-32	66	34	-81	-40	98	66	-5	38	-89	-53	-48	-31	73	14	72	-78	-50	42	-34	19	-33	-38	-2	79	-22	33	-78	-69	-22	-59	35	36	-53	-20	64	21	25	-39	87	75	55	-32	-77	38	38	97	-87	-14	-16	80	25	82	-12	35	-93	-61	71	34	-47	0	-70	14	-84	-1	-14	-85	-87	-95	-90	51	-40	-31	-58	13	90	-95	11	73	90	0	61	-96	53	0	-21	-78	-68	-78	80	-88	56	-35	-44	-15	35	-39	
53	-97	79	-2	-53	-18	-94	-4	-39	-97	-75	-16	92	-58	51	-28	37	-62	-27	-68	97	6	35	66	3	75	99	55	26	71	-63	-33	-29	-68	-12	41	75	53	62	-42	86	49	-60	-76	-69	-68	4	36	-49	-46	93	-71	-38	35	95	71	-46	-18	28	97	99	34	-18	-40	-27	-30	25	-92	-78	69	-57	-59	64	-62	24	93	76	30	2	15	57	53	98	-51	-25	54	12	-87	90	72	61	94	45	84	96	80	96	40	30	-23	63	39	-42	55	79	-4	-93	-30	-23	89	14	-77	54	-57	9	-40	62	52	61	94	-35	-33	48	-70	30	-95	-84	-58	-90	74	1	75	98	-72	-87	-5	-68	54	-54	-93	-39	80	-13	13	6	6	54	75	13	-17	-18	-26	-12	-7	-8	2	-41	-22	25	9	74	91	-48	86	17	13	29	74	71	60	-34	30	-49	-81	-91	-5	-5	99	66	-19	-40	23	24	62	-31	31	89	-92	70	12	15	-31	-70	-77	-67	24	-81	80	97	-56	69	-97	1	48	-66	84	-82	-53	50	-44	31	-29	-21	-21	-5	-51	-17	-85	94	-93	-98	-94	98	-36	-82	-18	-53	-30	-58	45	-82	41	-48	-74	64	-55	97	94	-48	96	-14	-49	14	-94	31	39	87	-69	11	82	62	-37	38	7	17	-22	
22	-52	-50	-13	-38	51	-37	65	-15	-24	-37	-90	97	15	5	99	60	-67	-49	44	-37	-17	-20	-23	-82	-66	-62	48	5	-26	4	-93	28	-26	45	-69	-71	57	-21	27	32	-75	1	58	-38	-73	10	-58	80	20	-8	60	80	22	-53	-9	-95	32	-60	-60	75	45	52	-27	-88	-62	-42	-27	-95	-28	52	34	73	0	-9	-36	46	-73	36	87	53	25	75	-21	7	70	90	-62	24	1	75	70	22	24	48	88	64	0	-22	61	75	-92	88	-82	18	98	-73	19	63	-58	-6	-65	-64	-61	-40	68	-5	-33	15	58	-51	-31	-76	-23	-97	4	32	-25	-87	83	64	47	-63	67	0	16	34	31	-1	-3	40	53	-28	-21	-68	-47	-7	54	31	54	-99	-86	70	97	-75	-70	59	89	-6	-7	67	-59	1	-1	38	-15	26	-76	22	-19	77	-66	17	27	69	-49	-42	15	-25	-28	72	-6	-49	98	59	-21	59	-76	94	-51	-90	-52	61	-28	-36	-54	-51	-62	-94	24	29	-41	85	68	73	43	-20	48	-15	19	-84	15	86	40	-89	38	-61	-59	-49	-26	47	90	-69	0	-18	-92	-98	-41	37	69	-97	46	40	57	85	16	-57	-4	0	-15	-29	24	16	15	51	-80	-97	59	36	30	-52	6	56	-88	68	26	
-11	28	20	33	32	19	44	-18	48	-1	-99	-62	-71	64	53	88	-45	96	11	-36	-95	25	-39	71	-97	-39	32	56	3	94	-16	26	-50	-79	52	10	23	-90	35	-53	33	-33	46	-73	-14	-59	54	44	59	71	90	-62	-72	-80	-13	44	79	17	-23	75	-62	20	-23	74	91	46	82	-99	-61	66	66	26	92	22	-85	-5	36	-17	45	-95	40	-69	2	-80	53	43	58	-16	-12	70	40	49	-4	93	-61	37	-33	-27	-79	-4	55	3	16	-67	62	-81	16	-35	-49	21	-68	-16	-69	-90	-52	81	-93	24	8	-41	-33	76	-5	22	44	70	-54	67	30	-71	-55	-93	41	9	-61	-23	24	-95	67	-37	13	77	-93	-90	57	-10	-70	12	21	-64	23	28	-42	-29	-41	-74	73	73	99	-95	29	20	-9	14	-57	-65	-21	31	70	25	27	18	2	72	59	-9	72	-91	65	-17	-87	-54	-80	-23	99	-66	-52	31	79	-8	-70	78	3	81	-78	43	-84	25	88	71	2	-65	25	61	0	95	-44	70	47	-68	-49	95	66	-54	-74	-93	-63	34	-7	-46	18	-35	19	61	-56	97	-46	-42	65	66	75	-19	-21	31	2	-41	-23	-34	81	65	-29	46	-7	-87	89	-16	16	-55	-41	71	-68	15	40	37	1	-14	
-17	-6	0	-53	51	6	8	-9	0	-45	44	-11	-14	61	3	98	-87	-1	-49	-30	-75	-72	50	-86	14	-22	44	99	-85	78	-88	14	32	-67	22	86	-86	-33	44	-90	-3	20	49	-10	84	-75	69	-51	57	36	-68	-28	-85	94	-81	-91	0	36	-35	36	39	95	-1	-63	17	-89	25	-92	79	43	-75	-49	50	29	84	8	29	-36	1	92	50	-57	50	-38	-40	-95	-20	-96	34	-59	95	-45	-22	-6	-81	-43	-31	8	-53	-15	-32	62	-59	75	87	-63	-2	58	-42	-1	-14	8	-48	31	-66	95	61	-52	19	17	-14	41	-40	94	64	59	91	80	35	40	-62	52	-45	47	-36	-24	96	-67	65	-23	-8	65	53	-90	9	94	-19	-46	55	33	9	93	75	-45	74	74	7	86	37	-5	60	69	50	99	12	48	42	30	54	62	0	-68	-28	73	-83	15	-30	-26	-3	89	59	88	-82	23	97	-70	-73	10	44	-70	13	75	-21	-79	-28	91	57	-92	1	81	4	-1	93	83	-46	69	43	59	-99	93	59	-18	-16	-60	30	-21	-96	16	-85	31	-58	46	49	-22	-96	27	53	75	-60	-91	-81	-76	86	19	-45	6	7	-60	62	-57	-51	-17	34	-77	81	-36	-33	-92	-9	-95	-18	61	-59	34	9	-84	
31	68	46	11	18	-94	-64	76	2	80	25	-50	-67	-10	-79	88	-47	-28	-54	-25	91	76	-10	-81	76	37	-6	-90	-24	-2	98	67	51	95	87	82	-44	-86	63	71	-80	44	-48	65	90	-81	-62	-90	95	23	58	66	-16	9	-24	-22	-41	95	-57	66	32	-40	-95	60	-15	-78	-41	29	0	-88	-19	-85	-33	-1	-45	41	67	71	-63	58	-20	57	-84	-19	76	13	-22	7	30	97	-81	-4	-72	63	12	-18	61	93	-13	-34	24	-37	49	5	-58	59	92	-39	91	4	-76	-87	98	87	97	53	20	71	-40	-53	-30	89	-75	91	31	-22	-18	-2	43	-83	11	14	32	-5	-14	-22	22	19	39	16	58	-35	1	-48	-26	88	-21	73	-92	-77	88	-2	-10	59	-89	24	67	-28	-48	16	-8	64	11	34	19	13	62	-21	93	-26	-9	-82	-14	0	-38	89	-24	80	95	94	82	26	-27	-21	33	-7	54	-22	-3	82	-42	-44	78	6	-96	-40	12	75	67	-63	-48	-94	-11	-22	42	-60	-77	2	-33	80	13	8	40	16	32	59	50	83	-25	32	-11	-3	0	-47	66	63	48	-56	-7	47	-51	72	-15	-19	14	59	-95	69	-20	-29	43	-69	68	32	-97	-19	90	-6	51	50	-28	94	24	-18	-31	82	
45	19	28	45	-83	-78	-59	84	-61	28	96	64	-90	-17	-34	49	-3	-97	-71	61	58	33	75	-80	7	-29	88	-29	-76	-52	98	-94	73	38	85	4	91	-64	10	59	-58	-73	-82	-76	1	72	-34	-5	9	-57	99	-41	-2	-60	3	81	60	-59	9	-4	-16	62	47	-15	-67	-3	-85	8	-2	3	-92	-70	91	98	-69	15	82	40	1	-38	79	-86	-89	-55	-66	-53	-95	-14	-57	-43	66	16	-88	78	-64	9	61	12	93	-47	-78	22	76	-15	49	-64	-70	-65	89	0	16	0	-9	-80	32	-62	80	-39	-74	94	65	91	-91	-46	-56	-85	-7	-49	-98	-71	61	96	22	-2	-42	72	59	95	24	-31	39	-52	3	67	-35	88	-23	-90	-72	-42	-93	-25	-30	-55	13	-86	-56	51	-91	64	-56	28	-41	77	-15	-79	-38	-12	-77	-26	-7	43	-50	-74	-16	-73	95	-55	71	-1	-57	46	88	20	-79	-8	11	53	1	7	-69	-41	-85	4	81	-47	-89	-38	-57	-47	4	26	62	81	-58	80	73	-96	-18	67	58	42	-13	-81	38	-58	-88	62	15	66	83	-4	-20	-67	-1	42	-5	-62	-64	-88	-77	0	-34	20	9	26	86	-53	-31	-49	11	-47	-27	35	6	49	74	0	16	10	-60	-22	-19	8	0	39	
52	80	49	74	42	-42	-77	77	67	70	27	77	-73	2	95	-89	80	79	-40	-40	-29	-51	-77	-51	-71	-24	19	-49	39	21	-97	35	-83	11	20	-58	86	60	-93	-7	38	14	-37	-5	-67	-63	-89	-94	65	0	-60	-91	-71	-9	68	-80	-52	19	-10	-18	2	94	-84	68	-97	-38	-78	4	-86	-17	87	12	95	-33	7	88	-36	-53	75	-73	-89	82	46	-68	57	-38	-86	35	-33	-39	23	-1	-62	32	-75	-61	-70	-83	87	0	-40	-88	40	60	96	17	-79	79	-25	-30	22	-69	-39	-12	-8	-22	-2	-27	38	-19	-38	5	54	10	-53	32	36	71	57	58	-99	66	95	47	-32	-19	-2	-40	-13	-88	-95	93	-77	-62	-99	0	-53	-51	-63	33	-64	-17	80	-27	60	12	-91	-42	-22	-2	-77	-72	-72	30	26	82	-67	61	-9	45	-7	-28	-68	-66	27	-64	75	-38	-17	35	-83	-38	-70	1	92	-1	57	50	4	67	-90	39	73	-17	97	-37	-27	82	28	-28	82	72	63	68	-44	-50	20	55	18	87	-82	47	52	-6	-16	53	68	90	4	-98	-47	38	-89	64	19	26	27	-62	-6	-12	6	-73	-47	5	27	-52	-55	-45	36	55	12	60	-58	-71	-94	39	-53	-75	32	4	-88	-85	-50	92	-91	46	
81	-95	-33	-56	2	-29	-12	-8	-89	-56	72	26	-24	14	-18	-71	-71	92	-32	33	-44	-43	70	-52	-68	-42	-2	-67	90	93	-94	61	82	22	53	2	21	-5	0	-4	-18	-65	-70	-98	-66	-21	-60	29	-39	10	-11	42	-61	77	10	-86	31	1	35	13	43	-65	21	99	51	-6	-73	-47	0	-51	9	-43	-40	-93	47	77	46	47	-90	80	-7	-55	39	18	31	54	59	33	45	-75	86	-35	0	-51	-32	35	-22	71	97	5	63	-22	60	25	82	-1	58	-4	-23	-52	92	-47	33	80	64	12	-96	-53	89	-65	-32	-96	55	0	-61	87	-43	-71	57	-59	88	-1	9	44	34	-27	28	8	-76	14	64	94	-40	87	21	-71	74	-98	80	-87	-4	-32	-37	-20	0	-55	-88	-75	-20	77	13	-3	-74	-72	97	20	-25	-90	-96	-80	-96	-64	42	-64	-5	55	95	7	65	-75	42	19	51	33	-19	-47	6	-52	54	10	15	-78	28	79	-20	-59	53	-33	40	-3	-85	28	-13	39	53	-26	18	78	46	96	-15	-33	39	24	86	91	29	-14	56	61	-6	-78	-97	75	-18	62	-80	6	-15	50	-10	76	-17	34	47	35	35	-81	73	80	-81	29	90	84	-17	62	-80	-71	32	23	-4	-36	-23	76	-27	-40	
51	25	56	-51	95	-5	-56	-26	33	-20	-60	30	-26	32	15	-17	-46	11	-3	81	-80	-79	63	-24	-58	-34	-5	54	-23	-41	-11	-8	53	-65	-34	-7	-84	50	-95	-96	-75	-72	-99	-15	-65	-64	-15	-86	43	76	-49	-95	22	-33	24	72	-64	31	-75	-89	55	-68	77	-42	-10	-2	54	98	47	99	13	22	19	-92	51	-86	86	80	-62	-39	93	84	-43	-28	66	61	50	-60	-40	68	37	2	-10	-90	57	-48	23	-49	-67	56	5	-68	-4	-30	-36	39	53	48	-76	91	-68	83	-25	-9	62	-30	-86	-28	-31	38	56	-93	19	77	80	-80	61	-43	-99	-30	-21	82	-11	-49	20	-13	-64	90	0	-82	-41	-32	77	40	-31	-91	31	-11	-87	40	47	87	-12	-51	50	44	-48	45	55	-6	7	-90	26	84	-13	-24	-30	-75	-42	-54	-12	-87	-78	89	-21	-71	97	-19	66	89	-32	-91	-78	-8	-97	16	64	-21	-87	-75	-10	-40	11	84	67	8	39	65	21	-41	39	79	-12	97	-15	63	-22	85	63	-66	-95	-85	-77	-56	27	-21	-59	21	-5	-27	-94	-97	94	-5	4	44	-97	-38	-32	-29	-47	-78	-2	82	22	31	51	-89	64	-8	-18	-20	-82	94	56	79	25	-62	-61	-39	5	-5	-52	-54	-41	-36	
