7
80	42	-54	-74	62	-98	74	32	-91	-70	57	85	56	81	-85	-45	-58	-33	-96	-20	59	44	-22	-51	62	30	75	10	-62	-2	-28	-18	40	-98	11	-98	-90	-8	70	-78	-84	4	-27	-42	62	42	-45	77	-15	73	99	53	65	53	-24	19	92	-20	94	-14	-12	47	20	94	57	-66	-94	49	-33	-46	38	71	93	3	58	-95	77	79	24	36	96	-89	-27	-49	92	74	65	-14	89	49	-38	18	91	16	-75	96	11	-62	75	-55	11	-3	75	-38	38	-63	35	95	31	-42	19	29	28	-73	-55	-28	10	94	-52	-53	-23	-70	50	85	-80	91	-23	34	
-12	11	88	-85	22	-35	-15	-16	-57	48	-3	40	66	87	51	44	-81	-34	47	-72	-2	96	48	7	-51	64	-42	-42	87	1	3	-6	5	10	12	27	43	84	-88	-49	0	-47	70	54	71	0	56	-14	52	-19	-8	79	-21	-94	8	-54	9	2	-94	40	15	43	-52	-85	-35	68	-50	-98	-16	-38	-88	36	-97	32	-46	61	-65	84	-66	21	-74	48	-94	-1	39	38	-83	-80	-12	-23	-36	-71	93	71	77	-65	87	29	-60	43	69	-82	-55	84	26	-29	-48	16	-7	4	33	-89	-35	53	0	98	-77	-25	94	-51	-72	-34	32	13	-91	-28	91	-96	
87	25	97	-60	7	10	98	25	-45	91	15	-20	79	-34	-22	-49	-31	-1	-2	6	-99	-63	-81	-69	-52	55	69	-77	80	71	-93	-65	-98	-56	-80	-62	34	78	17	-93	-59	41	80	-81	-82	-15	-24	4	99	27	79	-59	66	-81	36	-6	27	29	-70	20	15	81	16	66	-50	-46	-35	-44	95	-90	-52	-80	47	-39	23	-23	-95	30	-41	-30	-94	-74	-34	-36	-47	-14	-26	84	59	-43	-35	-21	22	-45	51	-60	-3	-80	-8	72	-46	-11	84	49	23	-77	-11	-40	1	2	-64	3	52	-9	51	67	71	73	-26	2	-19	59	30	-17	88	-37	-85	24	
75	-49	-19	-27	-99	-50	-26	-79	32	29	-42	47	-21	-35	28	95	-97	-81	-64	-58	-12	-42	13	88	12	12	67	-38	47	46	37	-30	89	-50	-23	70	-69	-26	-37	-31	-84	9	55	44	-24	30	36	95	76	-83	58	35	17	61	-80	-9	-88	-19	17	99	6	-3	-94	71	96	-71	-60	-33	-72	-89	-90	68	68	75	-3	78	7	-55	-84	-25	-85	-38	58	-80	21	86	-19	94	46	76	-99	10	40	-13	-47	8	-38	-35	21	-31	36	57	-76	-46	-25	23	28	-84	2	96	-87	34	2	25	-36	-69	30	-83	83	-80	55	-85	88	-4	18	91	-57	-34	
-99	-39	20	-64	-40	8	-29	35	43	21	42	77	30	-18	99	-4	65	38	56	-88	-3	-23	89	-21	-32	-68	72	-87	-66	94	-59	-20	-94	-9	65	-99	-98	5	-81	71	21	40	89	99	-33	-77	96	-68	-7	41	-79	93	-62	-16	-77	-61	31	-47	-81	-80	44	11	54	31	-9	86	-64	70	30	27	-79	-61	-94	35	7	93	-72	-44	-36	39	0	38	10	-96	52	4	15	45	-26	36	-47	36	86	-49	9	72	-19	78	-75	21	49	62	-43	26	92	-54	-97	63	23	-10	-2	94	-96	-2	51	-51	-53	-69	-74	-17	11	-58	-13	95	35	21	39	-62	
-92	8	91	-95	25	44	13	-18	-84	-36	2	87	-89	-78	-76	-64	-8	-63	-36	0	27	-65	58	68	-63	-45	-88	55	-92	-5	-78	40	46	-43	66	48	40	86	-48	46	11	81	27	28	75	92	-7	-44	40	-88	-83	51	1	26	-44	65	-67	-58	-87	-66	-23	20	-42	-89	56	40	-66	66	81	69	-69	84	-84	-83	32	-86	-11	-91	-23	40	9	22	-25	-47	-33	36	-54	-44	67	62	81	-7	-7	-50	78	-65	24	67	-28	11	34	-68	-72	31	44	38	-46	-69	-96	40	-15	15	-45	44	1	39	7	28	24	-70	-56	45	-6	61	38	30	59	48	
-83	-78	0	24	-29	86	-15	73	-68	26	36	82	-93	-32	61	-57	-25	81	57	-32	-61	-43	-78	47	-86	74	-65	-50	-20	63	-15	29	-8	-18	19	-56	-73	-56	-68	51	82	30	-85	10	66	-90	45	-27	34	24	0	-86	-32	78	50	-8	-10	36	-22	-52	-71	-74	65	22	-51	5	79	77	37	-64	-40	-76	-14	-97	58	29	95	98	-9	-12	67	-15	64	-9	-52	94	-98	95	35	53	-94	-27	38	3	97	-63	-37	14	-75	-55	2	-73	-24	17	13	-4	5	98	8	-94	68	74	40	59	-17	95	-68	-71	89	-3	12	10	-43	13	61	-61	-69	39	
-29	-24	-17	65	-40	29	-77	84	-43	-7	-7	-90	31	-2	-91	-61	-92	66	10	-46	20	84	-11	87	-14	45	18	42	-91	-2	38	55	5	92	5	70	-18	-22	26	-41	-7	14	-26	27	4	51	-96	-26	-80	21	61	-10	-49	66	46	68	-97	79	-94	-92	-87	93	54	-89	94	71	6	-39	18	-83	68	-69	-89	89	-6	82	30	-81	-51	23	-85	-52	-28	0	1	-14	91	-88	84	-64	-63	36	77	-82	91	73	-51	21	70	29	60	45	27	84	-15	-53	98	76	-62	-4	15	-83	-55	98	29	53	-23	-93	36	65	-77	81	64	-2	-67	-32	88	53	
71	-73	-82	94	28	-7	-16	15	95	20	-54	-85	-81	8	85	64	16	61	15	-4	-94	-8	-88	55	73	94	-98	5	-2	0	-79	-96	-6	47	65	-17	-67	-70	-6	95	-53	10	-74	-34	-34	15	-3	9	-22	82	-60	99	-82	-39	48	19	77	57	49	79	-30	49	-58	-94	-67	72	32	-10	-93	6	37	-47	-59	-17	-47	96	90	62	-55	-33	37	53	-77	-88	-66	16	72	69	-19	-95	82	-44	-88	-25	15	-18	-16	25	40	-20	-60	-13	-51	-67	-68	-88	-6	-78	-43	-90	67	14	85	81	5	35	-89	-49	-82	-14	-30	-4	-91	-83	38	96	-34	41	
-53	-48	27	-23	-83	60	-40	67	80	59	-58	-9	68	-54	71	26	-73	-83	58	68	-31	-59	-54	-43	-54	-62	97	60	-81	-19	65	-29	72	-90	-72	23	-86	-27	-65	79	77	-83	64	43	-62	2	12	-70	-44	-66	71	24	28	2	78	12	74	-85	-90	-40	-42	-36	-73	-90	-18	90	-50	-99	70	-23	34	-59	-82	-50	-72	-29	84	-73	71	80	-24	-31	-89	56	31	63	-66	-25	66	-72	18	-56	66	12	-97	31	-19	-99	44	71	-86	-92	56	-52	-96	-64	-26	-21	54	86	82	24	83	61	-82	-54	-18	-72	-19	0	-48	-34	36	-23	92	-45	30	27	
-96	-44	-72	-98	-48	16	-94	34	-32	21	-27	-63	57	94	-82	4	-62	9	-98	-77	-30	17	-62	72	24	-16	42	72	-92	91	92	58	48	-42	27	-45	-65	-35	66	75	52	-95	74	98	37	-46	-40	-89	71	87	-54	-61	-46	0	55	8	18	-6	-22	11	97	93	-13	78	65	-88	49	92	-45	-12	-19	59	27	33	73	-61	-6	-60	-89	-57	3	-26	-94	99	-14	43	-36	-26	-72	65	-9	68	-85	-87	-18	80	41	77	-81	-30	92	33	-80	-45	-72	1	41	-48	-53	52	-84	-96	43	65	-2	-25	-73	75	-22	-61	83	-79	-36	-2	-68	-65	-38	-82	
-87	11	-96	36	46	27	-84	67	3	-47	27	34	55	51	-13	79	-34	-94	-78	3	-46	-98	19	-1	-12	66	-49	-38	-52	1	76	-22	75	-92	99	83	78	27	-46	71	-80	2	42	-37	35	64	-72	73	7	53	-12	-56	-17	-39	16	27	53	30	-74	94	-7	72	48	-78	-62	15	68	-69	7	-54	24	25	14	76	-23	-2	80	61	-24	37	-24	-66	27	30	-48	-63	-69	-1	-95	77	48	1	58	62	7	74	-55	-27	-79	-69	-46	0	-72	-52	32	-87	-60	13	55	-54	-26	97	72	16	87	31	-70	-1	38	-10	34	2	-90	66	-43	-64	0	-55	
90	23	9	63	-91	73	-70	-51	85	51	73	25	89	39	-54	61	18	74	44	58	6	-16	67	84	-24	-32	5	67	-50	36	-4	-2	-87	53	18	-70	-95	-52	-57	19	-24	-31	-61	-77	8	69	63	-87	99	85	4	93	45	-66	34	-36	89	40	18	-63	-83	-91	55	-49	-20	-24	94	76	-67	94	-79	11	-49	20	73	-46	19	-7	-68	-32	-94	-65	78	80	-87	-98	56	87	65	25	46	99	-60	91	-14	69	-84	-1	79	-7	7	85	-67	-21	-84	-23	69	96	81	-14	-15	-61	-22	-14	-48	20	79	-71	-30	-83	-90	96	-33	44	84	15	-95	3	
-42	-23	-92	98	53	22	13	1	-63	18	-42	-64	25	-82	59	42	55	44	-61	71	11	-50	-98	83	2	-62	-67	27	9	-13	98	-74	-73	-1	-60	1	-65	99	-8	-81	87	-10	22	47	50	4	-20	3	-48	-80	29	-83	-85	14	68	7	-90	-9	7	-48	-22	-59	-34	-36	-18	42	49	94	-11	32	-55	86	58	10	-56	-27	-62	-73	48	30	-29	-18	-1	-17	-24	43	90	-77	28	17	49	67	-83	-59	1	-3	65	-13	-86	-30	80	-94	6	-22	-62	23	37	-74	83	4	74	19	-81	57	63	81	12	-18	-98	-4	-32	23	71	-94	-82	-91	10	99	
-95	-14	95	54	-75	77	-64	86	62	70	-7	39	67	98	94	24	-6	0	-37	-61	-78	-38	-72	-43	-85	-19	30	86	-42	-30	-85	77	44	-97	-35	46	0	60	12	-11	69	-94	-90	-1	-20	-72	38	53	-31	-17	12	84	-52	-42	51	14	36	-73	-45	-62	-10	76	36	32	32	-37	16	-13	21	33	61	94	60	-76	-45	-24	-77	57	29	84	42	-62	99	-79	-35	-93	11	-45	10	-30	-64	16	6	6	-14	-1	15	-14	42	87	-57	73	72	-45	44	-42	-81	53	31	26	53	1	-42	87	-13	14	-7	44	11	65	-68	68	18	-40	-33	-47	46	-7	
69	-25	-69	-57	32	11	42	-50	-89	63	92	9	70	-63	10	56	-66	65	26	-68	76	53	8	81	26	-57	0	-47	-27	90	81	20	-33	87	61	21	-34	8	-81	44	39	81	-72	14	-39	-93	3	-20	3	-99	-14	-6	-98	-95	-8	91	93	91	1	-21	-61	65	79	5	96	-51	29	-10	-76	-60	98	88	76	-61	-36	22	48	66	-76	-14	-81	-34	27	38	-3	44	-2	-96	11	60	43	48	74	23	91	-23	-55	82	55	-42	-71	63	18	4	-73	-32	51	-12	0	77	-24	-63	10	67	70	-27	-48	-67	6	52	-40	47	69	69	-46	60	99	3	
