4
-8	-6	-6	4	-4	0	1	-4	4	2	9	5	-2	2	-8	7	
0	-3	-3	-3	6	7	2	-1	7	-3	0	3	1	8	7	8	
0	-9	0	-4	7	-7	-9	-8	-1	-6	0	9	6	3	5	6	
5	1	7	-5	-1	-4	0	0	-7	8	7	1	-4	0	-9	7	
-3	-4	-8	6	4	3	8	9	1	-4	6	-3	3	4	3	-2	
-3	0	-8	4	3	0	2	8	0	-3	-2	0	-3	-3	9	8	
-5	-8	9	-1	2	6	-4	-2	-9	-6	-6	0	5	0	2	1	
-9	-5	-7	3	3	8	5	5	1	7	0	9	-4	-3	3	-7	
9	-7	-5	7	-1	-8	-9	-3	-7	9	1	6	-3	-5	9	-4	
2	4	3	-8	9	-5	-5	0	-1	-4	-1	-2	4	4	-6	-1	
4	8	-1	-6	7	-9	3	-7	1	-1	3	-8	-4	3	7	1	
6	0	0	8	1	2	8	-1	-2	4	7	-9	9	-7	-2	-9	
0	-6	0	-1	3	9	-4	-5	-5	-8	7	-8	2	-7	-6	-5	
0	0	7	-7	-7	7	8	2	-7	0	-1	-4	8	0	0	-2	
-8	5	-5	-9	0	6	-2	4	-2	7	7	9	-5	1	7	-9	
9	-5	1	-7	4	-1	3	9	-6	0	-1	-2	2	5	0	1	
